FLIGHT_ID,DATETIME,AIRLINE_CODE,ORIGIN_IATA,DEST_IATA,DISTANCE,TOTAL_DELAY,CANCELLATION_REASON,AIR_SYSTEM_DELAY,WEATHER_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY
183,2015-08-24,WN,BNA,TPA,612,0.0,,False,False,False,False,False
184,2015-01-25,WN,MCO,MDW,990,0.0,,False,False,False,False,False
185,2015-01-01,AA,SFO,LAX,337,0.0,,False,False,False,False,False
186,2015-03-15,AA,PHX,MIA,1972,13.0,,False,False,False,False,False
187,2015-08-29,WN,SJC,SNA,342,0.0,,False,False,False,False,False
188,2015-04-03,DL,ATL,PVD,903,0.0,,False,False,False,False,False
189,2015-08-05,WN,DEN,TUS,639,0.0,,False,False,False,False,False
190,2015-08-06,EV,HPN,ATL,780,10.0,,False,False,False,False,False
191,2015-09-27,WN,MEM,TPA,655,14.0,,False,False,False,False,False
192,2015-07-03,DL,DTW,DCA,405,0.0,,False,False,False,False,False
193,2015-04-17,WN,MDW,DEN,895,1615.0,Weather,False,False,False,False,False
194,2015-01-02,EV,GPT,IAH,376,0.0,,False,False,False,False,False
195,2015-04-16,DL,PHX,MSP,1276,0.0,,False,False,False,False,False
196,2015-08-18,NK,LAS,ATL,1747,0.0,,False,False,False,False,False
197,2015-05-01,AA,ONT,DFW,1188,0.0,,False,False,False,False,False
198,2015-11-18,AA,BOS,PHL,280,1.0,,False,False,False,False,False
199,2015-05-21,OO,RKS,DEN,260,0.0,,False,False,False,False,False
200,2015-06-29,MQ,TUL,DFW,237,40.0,,True,False,False,False,False
201,2015-12-02,WN,BWI,PVD,327,7.0,,False,False,False,False,False
202,2015-05-27,WN,MDW,PIT,402,0.0,,False,False,False,False,False
203,2015-07-02,DL,LGA,ATL,762,0.0,,False,False,False,False,False
204,2015-01-16,EV,ATL,OMA,821,3.0,,False,False,False,False,False
205,2015-06-27,UA,BOS,IAH,1597,4.0,,False,False,False,False,False
206,2015-08-20,OO,DEN,FSD,483,8.0,,False,False,False,False,False
207,2015-11-09,DL,MDT,ATL,620,44.0,,True,False,False,True,False
208,2015-03-06,US,BWI,PHX,1999,5.0,,False,False,False,False,False
209,2015-08-21,AA,ORD,PHL,678,0.0,,False,False,False,False,False
210,2015-02-06,WN,ABQ,LAS,486,0.0,,False,False,False,False,False
211,2015-12-08,AS,LAX,PDX,834,1615.0,,False,False,False,False,False
212,2015-05-27,DL,SRQ,ATL,444,13.0,,False,False,False,False,False
213,2015-04-04,OO,MBS,DTW,98,0.0,,False,False,False,False,False
214,2015-02-24,US,DCA,PHX,1979,3.0,,False,False,False,False,False
215,2015-07-02,UA,IAH,MFE,316,276.0,,False,False,False,True,True
216,2015-11-06,EV,IND,RDU,489,5.0,,False,False,False,False,False
217,2015-06-08,WN,ICT,LAS,986,3.0,,False,False,False,False,False
218,2015-05-06,UA,EWR,DFW,1372,1615.0,,False,False,False,False,False
219,2015-07-08,AS,SEA,LAS,867,71.0,,True,False,False,True,False
220,2015-12-10,EV,CMH,EWR,463,0.0,,False,False,False,False,False
221,2015-06-11,UA,JFK,SFO,2586,0.0,,False,False,False,False,False
222,2015-11-23,B6,STT,SJU,68,18.0,,False,False,False,False,False
223,2015-09-03,EV,ATL,ABE,692,22.0,,True,False,False,False,False
224,2015-08-15,EV,ABE,DTW,425,0.0,,False,False,False,False,False
225,2015-08-21,AA,PHX,MCO,1849,199.0,,False,False,False,True,True
226,2015-06-30,AA,ABQ,DFW,569,110.0,,True,False,False,False,True
227,2015-06-03,UA,EWR,LAS,2227,4.0,,False,False,False,False,False
228,2015-08-02,MQ,RIC,ORD,642,25.0,,True,False,False,False,False
229,2015-07-04,DL,DTW,SLC,1481,0.0,,False,False,False,False,False
230,2015-12-02,DL,MSP,LAX,1535,7.0,,False,False,False,False,False
231,2015-06-12,OO,MSP,FSD,196,0.0,,False,False,False,False,False
232,2015-08-20,DL,DTW,PWM,668,1615.0,Weather,False,False,False,False,False
233,2015-12-27,DL,PHX,SLC,507,0.0,,False,False,False,False,False
234,2015-04-24,EV,ATL,MGM,147,0.0,,False,False,False,False,False
235,2015-11-05,AA,JAX,DFW,918,5.0,,False,False,False,False,False
236,2015-05-30,WN,PHX,LAX,370,0.0,,False,False,False,False,False
